Id,activity_date,TotalSteps,TotalDistance,Calories,step_engagement_level
1503960366,,11004,7.1100001335144,1819,Low
1503960366,,17609,11.5500001907349,2154,Low
1503960366,,12736,8.52999973297119,1944,Low
1503960366,,13231,8.93000030517578,1932,Low
1503960366,,12041,7.84999990463257,1886,Low
1503960366,,10970,7.15999984741211,1820,Low
1503960366,,12256,7.8600001335144,1889,Low
1503960366,,12262,7.86999988555908,1868,Low
1503960366,,11248,7.25,1843,Low
1503960366,,10016,6.36999988555908,1850,Low
1503960366,,14557,9.80000019073486,2030,Low
1503960366,,14844,9.72999954223633,2083,Low
1503960366,,11974,7.67000007629395,1861,Low
1503960366,,10198,6.44000005722046,1755,Low
1503960366,,12521,7.94000005722046,1895,Low
1503960366,,12432,8.10000038146973,1883,Low
1503960366,,10057,6.98000001907349,1755,Low
1503960366,,10990,7.26000022888184,1811,Low
1503960366,,224,0.140000000596046,50,Low
1624580081,,1810,1.17999994754791,1373,Low
1624580081,,815,0.529999971389771,1264,Moderate
1624580081,,1985,1.28999996185303,1350,Low
1624580081,,1905,1.24000000953674,1342,Low
1624580081,,1552,1.00999999046326,1300,Low
1624580081,,1675,1.0900000333786,1313,Low
1624580081,,4506,2.9300000667572,1498,Low
1624580081,,9218,5.98999977111816,1541,Moderate
1624580081,,1556,1.00999999046326,1327,Low
1624580081,,2910,1.88999998569489,1452,Low
1624580081,,18464,12,1574,Low
1624580081,,1335,0.870000004768372,1308,Low
1624580081,,1004,0.649999976158142,1276,Low
1624580081,,1111,0.720000028610229,1278,Low
1624580081,,6344,4.11999988555908,1409,Moderate
1624580081,,3572,2.3199999332428,1370,Low
1624580081,,3910,2.53999996185303,1555,Low
1624580081,,10000,6.5,1469,Low
1624580081,,6627,4.30999994277954,706,Moderate
1644430081,,4636,3.41000008583069,3323,Low
1644430081,,20237,14.710000038147,4029,Low
1644430081,,12912,9.40999984741211,3436,Low
1644430081,,2819,2.04999995231628,2444,Low
1644430081,,9921,7.21000003814697,3098,Moderate
1644430081,,8046,5.84999990463257,2925,Moderate
1644430081,,11166,8.11999988555908,3202,Low
1644430081,,7842,5.69999980926514,2928,Moderate
1644430081,,13840,10.0600004196167,3290,Low
1644430081,,1329,0.970000028610229,489,Low
1844505072,,6847,4.53000020980835,1969,Moderate
1844505072,,5367,3.54999995231628,1889,Moderate
1844505072,,2841,1.87999999523163,1636,Low
1844505072,,0,0,1347,Low
1844505072,,7,0,1349,Moderate
1844505072,,6344,4.19000005722046,1965,Moderate
1844505072,,5316,3.50999999046326,1824,Moderate
1844505072,,4979,3.28999996185303,1807,Low
1844505072,,6556,4.34000015258789,1971,Moderate
1844505072,,5430,3.58999991416931,1888,Moderate
1844505072,,0,0,399,Low
1927972279,,4317,2.99000000953674,2590,Low
1927972279,,5662,3.92000007629395,2783,Moderate
1927972279,,3198,2.21000003814697,2449,Low
1927972279,,2352,1.62999999523163,2380,Low
1927972279,,2234,1.54999995231628,2344,Low
1927972279,,1259,0.870000004768372,2202,Low
1927972279,,768,0.529999971389771,2130,Moderate
1927972279,,519,0.360000014305115,2088,Moderate
1927972279,,2523,1.75,2443,Low
1927972279,,2105,1.46000003814697,2442,Low
1927972279,,1209,0.839999973773956,2255,Low
1927972279,,24,0.0199999995529652,942,Low
2022484408,,13603,9.60000038146973,2645,Low
2022484408,,5477,3.83999991416931,2040,Moderate
2022484408,,11144,7.82000017166138,2395,Low
2022484408,,15313,11,2581,Low
2022484408,,10805,7.59000015258789,2735,Low
2022484408,,15392,10.9300003051758,2733,Low
2022484408,,18247,13.8299999237061,3021,Low
2022484408,,13023,9.26000022888184,2577,Low
2022484408,,16267,12.5900001525879,2811,Low
2022484408,,10005,7.01999998092651,2458,Low
2022484408,,10106,7.09000015258789,2568,Low
2022484408,,6717,4.71999979019165,1140,Moderate
2026352035,,2605,1.62000000476837,1407,Low
2026352035,,1229,0.759999990463257,1237,Low
2026352035,,2308,1.42999994754791,1330,Low
2026352035,,6679,4.1399998664856,1583,Moderate
2026352035,,5645,3.5,1538,Moderate
2026352035,,3180,1.97000002861023,1421,Low
2026352035,,2767,1.72000002861023,1392,Low
2026352035,,3762,2.32999992370605,1425,Low
2026352035,,3098,1.91999995708466,1413,Low
2026352035,,5142,3.19000005722046,1515,Moderate
2026352035,,3279,2.02999997138977,1405,Low
2026352035,,1019,0.629999995231628,600,Low
2320127002,,0,0,1324,Low
2320127002,,4931,3.3199999332428,1708,Low
2320127002,,6999,4.71999979019165,1950,Moderate
2320127002,,1846,1.24000000953674,1508,Low
2320127002,,3417,2.29999995231628,1625,Low
2320127002,,4863,3.27999997138977,1772,Low
2320127002,,2277,1.52999997138977,1530,Low
2320127002,,11230,7.67000007629395,2206,Low
2320127002,,2098,1.4099999666214,790,Low
2347167796,,10272,6.78999996185303,2041,Low
2347167796,,10533,7.09999990463257,2187,Low
2347167796,,6760,4.46999979019165,1929,Moderate
2347167796,,8328,5.51000022888184,1935,Moderate
2347167796,,15459,10.2200002670288,2438,Low
2347167796,,7485,4.94999980926514,2035,Moderate
2347167796,,10254,6.80000019073486,2099,Low
2347167796,,10114,6.82000017166138,2096,Low
2347167796,,11107,7.34000015258789,2058,Low
2347167796,,10320,6.84999990463257,2338,Low
2347167796,,10209,6.75,2104,Low
2347167796,,16081,10.6300001144409,2488,Low
2347167796,,10078,6.82999992370605,2164,Low
2347167796,,10001,6.6100001335144,2009,Low
2347167796,,0,0,399,Low
2873212765,,890,0.600000023841858,1335,Moderate
2873212765,,2214,1.49000000953674,1559,Low
2873212765,,7640,5.13000011444092,1845,Moderate
2873212765,,9713,6.53000020980835,2046,Moderate
2873212765,,8432,5.67000007629395,1953,Moderate
2873212765,,7350,4.94000005722046,1910,Moderate
2873212765,,9353,6.30999994277954,2035,Moderate
2873212765,,7157,4.80999994277954,1944,Moderate
2873212765,,14103,9.5600004196167,2257,Low
